"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"29/11/2024","2.651,62","2.637,38","2.660,45","2.590,79","","0,56%"
"28/11/2024","2.636,83","2.668,93","2.674,49","2.633,54","","-1,67%"
"27/11/2024","2.681,56","2.739,69","2.743,99","2.680,34","","-2,16%"
"26/11/2024","2.740,73","2.743,48","2.754,81","2.729,69","","0,18%"
"25/11/2024","2.735,72","2.734,64","2.746,62","2.725,01","","0,01%"
"22/11/2024","2.735,50","2.734,98","2.741,69","2.720,63","","-0,08%"
"21/11/2024","2.737,56","2.750,74","2.763,38","2.728,74","","-0,35%"
"20/11/2024","2.747,27","2.740,92","2.748,72","2.740,06","","0,17%"
"19/11/2024","2.742,49","2.746,90","2.754,73","2.729,06","","-0,51%"
"18/11/2024","2.756,47","2.734,88","2.762,72","2.730,57","","0,81%"
"15/11/2024","2.734,41","2.742,66","2.753,89","2.734,22","","-0,11%"
"14/11/2024","2.737,48","2.719,95","2.751,40","2.718,46","","0,80%"
"13/11/2024","2.715,64","2.737,39","2.755,93","2.709,99","","-1,01%"
"12/11/2024","2.743,48","2.730,30","2.745,15","2.719,87","","0,77%"
"11/11/2024","2.722,49","2.721,05","2.733,59","2.694,46","","-0,27%"
"08/11/2024","2.729,76","2.763,09","2.763,62","2.704,78","","-1,21%"
"07/11/2024","2.763,09","2.787,12","2.792,08","2.747,74","","-0,82%"
"06/11/2024","2.785,94","2.734,84","2.793,52","2.699,08","","1,87%"
"05/11/2024","2.734,84","2.720,71","2.740,66","2.709,22","","0,58%"
"04/11/2024","2.718,99","2.677,86","2.736,18","2.677,00","","1,55%"
"01/11/2024","2.677,45","2.710,31","2.727,11","2.674,48","","-1,22%"
"31/10/2024","2.710,41","2.722,63","2.726,89","2.707,09","","-0,43%"
"30/10/2024","2.722,02","2.734,63","2.735,72","2.708,30","","-0,46%"
"29/10/2024","2.734,58","2.752,78","2.765,15","2.731,31","","-0,65%"
"28/10/2024","2.752,53","2.739,19","2.764,49","2.739,19","","0,50%"
"25/10/2024","2.738,75","2.748,61","2.760,00","2.736,17","","-0,39%"
"24/10/2024","2.749,34","2.743,66","2.751,28","2.722,19","","0,17%"
"23/10/2024","2.744,58","2.733,31","2.746,74","2.723,51","","0,40%"
"22/10/2024","2.733,55","2.720,03","2.741,11","2.719,50","","0,49%"
"21/10/2024","2.720,12","2.716,95","2.723,98","2.700,35","","0,16%"
"18/10/2024","2.715,76","2.738,83","2.746,15","2.710,62","","-0,84%"
"17/10/2024","2.738,88","2.736,64","2.740,64","2.722,32","","0,08%"
"16/10/2024","2.736,64","2.756,05","2.756,30","2.719,60","","-0,70%"
"15/10/2024","2.755,81","2.779,81","2.790,87","2.748,66","","-0,86%"
"14/10/2024","2.779,76","2.774,96","2.795,20","2.751,64","","0,19%"
"11/10/2024","2.774,51","2.804,69","2.805,40","2.754,54","","-1,06%"
"10/10/2024","2.804,14","2.790,98","2.813,06","2.788,19","","0,48%"
"09/10/2024","2.790,83","2.825,60","2.825,60","2.788,19","","-1,23%"
"08/10/2024","2.825,60","2.854,05","2.855,09","2.823,05","","-1,02%"
"07/10/2024","2.854,72","2.837,04","2.891,85","2.837,04","","0,63%"
"04/10/2024","2.836,98","2.813,88","2.839,53","2.803,89","","0,82%"
"03/10/2024","2.813,78","2.804,12","2.837,99","2.796,42","","0,34%"
"02/10/2024","2.804,27","2.793,51","2.823,36","2.793,20","","0,36%"
"01/10/2024","2.794,33","2.776,86","2.798,03","2.773,11","","0,63%"
"30/09/2024","2.776,86","2.781,82","2.801,22","2.764,43","","-0,17%"
"27/09/2024","2.781,71","2.786,56","2.787,84","2.769,64","","-0,21%"
"26/09/2024","2.787,53","2.756,93","2.804,76","2.755,37","","1,17%"
"25/09/2024","2.755,22","2.782,05","2.785,12","2.745,59","","-0,96%"
"24/09/2024","2.782,05","2.743,87","2.787,06","2.739,26","","1,41%"
"23/09/2024","2.743,32","2.748,14","2.759,03","2.712,91","","-0,18%"
"20/09/2024","2.748,14","2.806,34","2.809,55","2.741,18","","-2,07%"
"19/09/2024","2.806,24","2.806,66","2.823,35","2.788,10","","-0,01%"
"18/09/2024","2.806,66","2.795,61","2.833,75","2.788,59","","0,39%"
"17/09/2024","2.795,66","2.793,35","2.798,31","2.778,73","","0,09%"
"16/09/2024","2.793,20","2.764,51","2.800,11","2.757,82","","0,98%"
"13/09/2024","2.766,15","2.739,93","2.776,43","2.734,04","","0,95%"
"12/09/2024","2.740,18","2.718,14","2.747,01","2.714,62","","0,80%"
"11/09/2024","2.718,38","2.728,17","2.745,82","2.712,78","","-0,36%"
"10/09/2024","2.728,22","2.766,78","2.773,34","2.722,64","","-1,37%"
"09/09/2024","2.765,99","2.743,05","2.771,05","2.738,63","","0,84%"
"06/09/2024","2.742,91","2.761,24","2.777,83","2.741,54","","-0,67%"
"05/09/2024","2.761,53","2.742,47","2.763,96","2.724,54","","0,69%"
"04/09/2024","2.742,47","2.748,65","2.754,43","2.731,96","","-0,22%"
"03/09/2024","2.748,41","2.763,04","2.782,81","2.745,01","","-0,49%"
"02/09/2024","2.762,06","2.754,27","2.770,31","2.741,61","","0,32%"
"30/08/2024","2.753,13","2.738,05","2.771,40","2.713,57","","0,54%"
"29/08/2024","2.738,29","2.770,34","2.775,13","2.720,88","","-1,16%"
"28/08/2024","2.770,44","2.810,69","2.816,80","2.767,86","","-1,44%"
"27/08/2024","2.811,00","2.806,59","2.828,81","2.804,14","","0,16%"
"26/08/2024","2.806,48","2.821,61","2.821,61","2.786,08","","-0,55%"
"23/08/2024","2.821,97","2.791,75","2.828,57","2.757,02","","1,09%"
"22/08/2024","2.791,60","2.821,32","2.849,96","2.786,26","","-1,05%"
"21/08/2024","2.821,32","2.816,21","2.835,68","2.808,67","","0,19%"
"20/08/2024","2.815,95","2.871,90","2.875,62","2.808,77","","-1,95%"
"19/08/2024","2.871,90","2.866,04","2.891,12","2.839,68","","0,27%"
"16/08/2024","2.864,16","2.861,42","2.884,86","2.855,95","","0,10%"
"15/08/2024","2.861,42","2.863,07","2.879,11","2.851,50","","-0,07%"
"14/08/2024","2.863,38","2.901,50","2.904,53","2.856,28","","-1,33%"
"13/08/2024","2.901,87","2.899,63","2.905,92","2.876,19","","0,04%"
"12/08/2024","2.900,69","2.889,76","2.914,52","2.887,35","","0,35%"
"09/08/2024","2.890,55","2.863,17","2.898,92","2.861,36","","0,96%"
"08/08/2024","2.863,17","2.844,42","2.865,90","2.809,46","","0,66%"
"07/08/2024","2.844,42","2.853,66","2.863,73","2.841,29","","-0,32%"
"06/08/2024","2.853,51","2.826,65","2.869,57","2.823,15","","0,96%"
"05/08/2024","2.826,30","2.822,53","2.831,89","2.757,99","","-0,02%"
"02/08/2024","2.826,94","2.822,95","2.841,63","2.794,60","","0,14%"
"01/08/2024","2.822,95","2.876,23","2.881,24","2.820,74","","-1,86%"
"31/07/2024","2.876,48","2.903,13","2.906,88","2.859,23","","-0,91%"
"30/07/2024","2.903,03","2.897,45","2.907,61","2.876,69","","0,19%"
"29/07/2024","2.897,51","2.873,60","2.899,26","2.869,19","","0,64%"
"26/07/2024","2.879,04","2.877,77","2.898,46","2.870,56","","0,05%"
"25/07/2024","2.877,51","2.866,44","2.891,34","2.854,46","","0,38%"
"24/07/2024","2.866,69","2.900,22","2.905,43","2.862,09","","-1,15%"
"23/07/2024","2.900,17","2.906,23","2.915,20","2.889,62","","-0,21%"
"22/07/2024","2.906,23","2.884,84","2.929,17","2.884,84","","0,50%"
"19/07/2024","2.891,88","2.911,06","2.931,27","2.885,08","","-0,67%"
"18/07/2024","2.911,48","2.936,08","2.946,92","2.888,93","","-0,82%"
"17/07/2024","2.935,44","2.979,32","2.981,40","2.932,33","","-1,46%"
"16/07/2024","2.979,04","2.967,85","2.992,16","2.960,23","","0,36%"
"15/07/2024","2.968,34","2.971,56","2.980,77","2.951,00","","-0,11%"
"12/07/2024","2.971,73","2.976,60","2.979,69","2.951,40","","-0,17%"
"11/07/2024","2.976,76","2.997,99","3.014,62","2.968,03","","-0,68%"
"10/07/2024","2.997,27","2.995,02","3.022,32","2.991,14","","0,06%"
"09/07/2024","2.995,57","2.970,53","3.002,50","2.965,01","","0,85%"
"08/07/2024","2.970,26","2.980,44","2.981,36","2.956,59","","-0,35%"
"05/07/2024","2.980,66","2.971,60","2.982,57","2.940,06","","0,24%"
"04/07/2024","2.973,43","2.944,83","2.986,21","2.933,98","","0,97%"
"03/07/2024","2.944,78","2.886,12","2.953,60","2.881,85","","2,02%"
"02/07/2024","2.886,38","2.882,48","2.912,02","2.874,18","","0,14%"
"01/07/2024","2.882,48","2.922,66","2.931,67","2.880,75","","-1,50%"
"28/06/2024","2.926,35","2.979,34","2.984,83","2.923,21","","-1,78%"
"27/06/2024","2.979,34","2.971,07","2.989,93","2.959,33","","0,30%"
"26/06/2024","2.970,53","3.002,79","3.016,27","2.966,71","","-1,07%"
"25/06/2024","3.002,68","3.038,28","3.053,24","2.999,82","","-1,19%"
"24/06/2024","3.038,73","3.032,17","3.048,51","3.014,03","","0,36%"
"21/06/2024","3.027,88","3.014,15","3.032,34","3.008,74","","0,46%"
"20/06/2024","3.014,09","3.008,90","3.048,67","3.002,58","","0,17%"
